IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls
000795-02012019,02 Jan 2019,2019,11:12:45,11,False Alarm,AFA,,Non Residential,Infant/Primary school,Correct incident location,SW6 4LJ,SW6,34041577,21000358,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013739,Fulham Town,Fulham Town,524569,176402,524550,176450,51.472878,-0.2078061,London,Fulham,375,Wandsworth,378,Hammersmith,2,2,2,1,333,1
000861-02012019,02 Jan 2019,2019,14:31:13,14,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,SW6,0,21000453,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013744,Palace & Hurlingham,Palace & Hurlingham,,,525050,176150,,,London,Fulham,205,Fulham,261,Wandsworth,2,2,2,1,333,2
000963-02012019,02 Jan 2019,2019,18:57:58,18,False Alarm,AFA,,Non Residential,Leisure Centre ,Within same building,W12 7DB,W12,34016666,21000129,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013752,White City,White City,522562,180677,522550,180650,51.5117425364,-0.2352011809,London,Hammersmith,340,Hammersmith,,,1,1,1,1,333,1
001056-02012019,02 Jan 2019,2019,23:31:30,23,Special Service,Special Service,Flooding,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,W12,0,21000368,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013750,Wendell Park,Wendell Park,,,521950,179650,,,London,Chiswick,382,Hammersmith,,,1,1,1,1,333,1
001160-03012019,03 Jan 2019,2019,10:10:05,10,Special Service,Special Service,Assist other agencies,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W14,0,21000131,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,,,523650,179350,,,London,Hammersmith,158,Hammersmith,173,Hammersmith,1,2,2,2,666,1
001198-03012019,03 Jan 2019,2019,12:28:08,12,Special Service,Special Service,Flooding,Non Residential,Fire station ,Correct incident location,SW6 5UJ,SW6,34069488,21000359,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013749,Walham Green,Walham Green,525029,176976,525050,176950,51.4779355375,-0.2009755604,London,Fulham,7,Fulham,,,1,1,1,1,333,1
001308-03012019,03 Jan 2019,2019,16:53:06,16,False Alarm,False alarm - Good intent,,Outdoor Structure,Small refuse/rubbish container,On land associated with building,W6 0JS,W6,34008430,21000795,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013746,Ravenscourt,Ravenscourt,522681,178679,522650,178650,51.493759142,-0.2341718552,London,Hammersmith,282,Hammersmith,,,1,1,1,1,333,1
001395-03012019,03 Jan 2019,2019,19:53:04,19,Special Service,Special Service,Flooding,Dwelling,House - single occupancy ,Correct incident location,,SW6,0,21000792,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013743,Munster,Munster,,,524050,177350,,,London,Fulham,278,Fulham,,,1,1,1,1,333,1
001405-03012019,03 Jan 2019,2019,20:08:33,20,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SW6,0,21000597,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013749,Walham Green,Walham Green,,,525150,177250,,,London,Fulham,303,Chelsea,351,Hammersmith,2,2,2,1,333,1
001419-03012019,03 Jan 2019,2019,20:50:26,20,Special Service,Special Service,Flooding,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,W14,0,21000411,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013734,Avonmore,Avonmore,,,524250,178850,,,London,Hammersmith,239,Kensington,,,1,1,1,2,666,1
001476-03012019,03 Jan 2019,2019,23:45:31,23,False Alarm,AFA,,Non Residential,Train station - platform (at ground level or elevated) ,Correct incident location,SW6 2ZH,SW6,34146304,21000826,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013747,Sands End,Sands End,526294,176705,526250,176750,51.4752274187,-0.1828671212,London,Chelsea,303,Chelsea,,,1,1,1,1,333,1
001528-04012019,04 Jan 2019,2019,04:00:16,4,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SW6,0,21000589,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013745,Parsons Green & Sandford,Parsons Green & Sandford,,,525650,176950,,,London,Fulham,251,Fulham,255,Chelsea,2,2,2,1,333,2
001627-04012019,04 Jan 2019,2019,12:17:13,12,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,W12,0,21000401,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013737,Coningham,Coningham,,,522150,179750,,,London,Hammersmith,323,Hammersmith,331,Hammersmith,1,2,2,1,333,1
001644-04012019,04 Jan 2019,2019,12:50:44,12,False Alarm,AFA,,Non Residential,Converted office ,Within same building,W12 7SB,W12,34160543,21000894,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013736,College Park & Old Oak,College Park & Old Oak,523353,180626,523350,180650,51.5111092379,-0.2238251945,London,Hammersmith,313,North Kensington,331,Hammersmith,2,3,3,1,333,3
001699-04012019,04 Jan 2019,2019,15:11:52,15,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,On land associated with building,W12 8LP,W12,34143846,21000835,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013748,Shepherd's Bush Green,Shepherd's Bush Green,523704,179908,523750,179950,51.5045830424,-0.2190264249,London,Hammersmith,387,North Kensington,,,1,1,1,1,333,1
001746-04012019,04 Jan 2019,2019,17:35:23,17,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SW6,0,21001557,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013739,Fulham Town,Fulham Town,,,524950,176550,,,London,Fulham,245,Fulham,,,1,1,1,1,333,1
001786-04012019,04 Jan 2019,2019,19:31:32,19,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,W12,0,21000876,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013737,Coningham,Coningham,,,522350,179750,,,London,Hammersmith,320,Hammersmith,335,Hammersmith,1,2,2,2,666,1
001829-04012019,04 Jan 2019,2019,21:28:20,21,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,W6,0,21000762,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013746,Ravenscourt,Ravenscourt,,,521950,178450,,,London,Hammersmith,321,Chiswick,,,1,1,1,1,333,2
001850-04012019,04 Jan 2019,2019,23:12:58,23,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Within same building,,W12,0,21000235,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013737,Coningham,Coningham,,,522650,179650,,,London,Hammersmith,235,Hammersmith,238,Hammersmith,1,2,2,1,333,2
002050-05012019,05 Jan 2019,2019,13:18:25,13,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W14,0,21000597,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013734,Avonmore,Avonmore,,,524250,178850,,,London,Hammersmith,233,Hammersmith,284,Hammersmith,1,2,2,1,333,1
002096-05012019,05 Jan 2019,2019,15:26:34,15,Fire,Secondary Fire,,Outdoor,Straw/stubble burning ,In street close to gazetteer location,W11 4TF,W11,34037950,21000663,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013748,Shepherd's Bush Green,Shepherd's Bush Green,523823,180306,523850,180350,51.508136417,-0.2171637796,London,North Kensington,374,North Kensington,,,1,1,1,1,333,6
002143-05012019,05 Jan 2019,2019,17:44:27,17,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W12,0,21000077,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013752,White City,White City,,,522650,180850,,,London,Hammersmith,396,Hammersmith,,,1,1,1,1,333,1
002319-06012019,06 Jan 2019,2019,04:04:20,4,Special Service,Special Service,Effecting entry/exit,Other Residential,Nursing/Care Home/Hospice,Within same building,W6 9QH,W6,34029466,21000660,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013741,Hammersmith Broadway,Hammersmith Broadway,523313,178339,523350,178350,51.4905613,-0.2252056,London,Hammersmith,215,Hammersmith,,,1,1,1,1,333,1
002363-06012019,06 Jan 2019,2019,07:16:51,7,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,W14,0,21000597,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013734,Avonmore,Avonmore,,,524250,178850,,,London,Hammersmith,242,Hammersmith,247,Hammersmith,1,2,2,1,333,1
002414-06012019,06 Jan 2019,2019,11:46:14,11,Special Service,Special Service,RTC,Dwelling,House - single occupancy ,Within same building,,SW6,0,21000154,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013745,Parsons Green & Sandford,Parsons Green & Sandford,,,525750,176950,,,London,Fulham,257,Chelsea,,,1,1,1,2,666,1
002438-06012019,06 Jan 2019,2019,12:47:25,12,Special Service,Special Service,Removal of objects from people,Non Residential,Fire station ,Correct incident location,SW6 5UJ,SW6,34069488,21000359,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013749,Walham Green,Walham Green,525032,176973,525050,176950,51.4779096177,-0.2009294731,London,Fulham,266,Fulham,,,1,1,1,1,333,1
002495-06012019,06 Jan 2019,2019,15:26:07,15,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,W6,0,21000258,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013746,Ravenscourt,Ravenscourt,,,522650,179050,,,London,Hammersmith,316,Hammersmith,,,1,1,1,1,333,2
002515-06012019,06 Jan 2019,2019,16:17:18,16,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,SW6,0,21000633,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013743,Munster,Munster,,,524350,177450,,,London,Fulham,236,Fulham,364,Fulham,2,2,2,1,333,1
002556-06012019,06 Jan 2019,2019,17:03:04,17,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,W6,0,21000955,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,,,523450,179550,,,London,Hammersmith,170,Hammersmith,,,1,2,2,1,333,1
002557-06012019,06 Jan 2019,2019,17:04:31,17,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Within same building,,W6,0,21000496,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013738,Fulham Reach,Fulham Reach,,,524150,177650,,,London,Fulham,297,Fulham,482,Chelsea,2,2,2,1,333,1
002559-06012019,06 Jan 2019,2019,17:08:11,17,False Alarm,False alarm - Good intent,,Outdoor,Tree scrub ,On land associated with building,SW6 6SA,SW6,34046648,21000261,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013743,Munster,Munster,524308,176938,524350,176950,51.4777601235,-0.2113711091,London,Fulham,605,Wandsworth,,,1,1,1,1,333,1
002649-06012019,06 Jan 2019,2019,20:24:42,20,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,SW6,0,21000856,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013745,Parsons Green & Sandford,Parsons Green & Sandford,,,525650,176350,,,London,Fulham,255,Wandsworth,256,Battersea,4,4,4,2,666,2
002722-07012019,07 Jan 2019,2019,01:17:22,1,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W3,0,20601220,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013750,Wendell Park,Wendell Park,,,521250,179850,,,London,Acton,386,Acton,404,Hammersmith,2,2,2,1,333,1
002752-07012019,07 Jan 2019,2019,05:48:35,5,False Alarm,AFA,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W14,0,21000398,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013734,Avonmore,Avonmore,,,524450,178450,,,London,Hammersmith,293,Hammersmith,317,Hammersmith,1,2,2,1,333,1
002843-07012019,07 Jan 2019,2019,12:57:45,12,Fire,Primary Fire,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,SW6,0,21000085,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013747,Sands End,Sands End,,,525950,176650,,,London,Fulham,251,Fulham,276,Chelsea,2,2,2,2,666,2
002853-07012019,07 Jan 2019,2019,13:21:25,13,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,SW6,0,21000546,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013745,Parsons Green & Sandford,Parsons Green & Sandford,,,525950,177050,,,London,Fulham,450,Battersea,,,1,1,1,1,333,1
002903-07012019,07 Jan 2019,2019,15:14:27,15,Fire,Primary Fire,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,W6,0,21000806,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013740,Grove,Grove,,,522950,179450,,,London,Hammersmith,247,Hammersmith,374,Chiswick,2,2,2,2,666,1
002928-07012019,07 Jan 2019,2019,16:50:02,16,Special Service,Special Service,Spills and Leaks (not RTC),Outdoor,Road surface/pavement ,In street outside gazetteer location,SW6 2ES,SW6,34065320,21000479,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013745,Parsons Green & Sandford,Parsons Green & Sandford,525785,176954,525750,176950,51.4775784599,-0.1901029638,London,Fulham,200,Fulham,,,1,1,1,1,333,1
002996-07012019,07 Jan 2019,2019,18:50:49,18,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,W6,0,21000140,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013740,Grove,Grove,,,522850,179350,,,London,Hammersmith,240,Hammersmith,337,Chiswick,2,2,2,1,333,1
003055-07012019,07 Jan 2019,2019,21:40:56,21,Special Service,Special Service,Hazardous Materials incident,Outdoor,Road surface/pavement ,In street outside gazetteer location,SW6 3EN,SW6,34063839,21000449,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013744,Palace & Hurlingham,Palace & Hurlingham,525721,175880,525750,175850,51.4679338545,-0.1914118281,London,Fulham,239,Fulham,265,Wandsworth,2,2,2,1,333,2
003065-07012019,07 Jan 2019,2019,22:51:51,22,Fire,Secondary Fire,,Outdoor,Loose refuse ,In street outside gazetteer location,SW6 4LJ,SW6,34043897,21000358,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013739,Fulham Town,Fulham Town,524558,176324,524550,176350,51.4721837131,-0.2079786978,London,Fulham,622,Fulham,,,1,1,1,1,333,5
003251-08012019,08 Jan 2019,2019,11:36:30,11,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,W14,0,21000515,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013734,Avonmore,Avonmore,,,524650,178750,,,London,Hammersmith,212,Hammersmith,,,1,1,1,1,333,2
003290-08012019,08 Jan 2019,2019,13:50:18,13,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,SW6,0,21000509,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013742,Lillie,Lillie,,,524850,177650,,,London,Fulham,185,Fulham,374,Hammersmith,4,5,5,2,666,1
003462-08012019,08 Jan 2019,2019,20:46:56,20,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W12,0,21000285,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013736,College Park & Old Oak,College Park & Old Oak,,,522650,181250,,,London,North Kensington,167,North Kensington,,,1,1,1,1,333,1
003466-08012019,08 Jan 2019,2019,21:16:22,21,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SW10,0,21000208,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013747,Sands End,Sands End,,,526350,176850,,,London,Chelsea,,,,,1,1,1,1,333,1
003492-08012019,08 Jan 2019,2019,23:45:06,23,Fire,Secondary Fire,,Outdoor Structure,Wheelie bin (domestic size),Correct incident location,W12 7FQ,W12,34163324,21000894,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013736,College Park & Old Oak,College Park & Old Oak,523159,181011,523150,181050,51.5146131577,-0.2264891568,London,North Kensington,284,North Kensington,299,Hammersmith,2,3,3,1,333,1
003569-09012019,09 Jan 2019,2019,08:30:05,8,False Alarm,AFA,,Other Residential,Hostel (e.g. for homeless people) ,Correct incident location,W6 9LD,W6,34007023,21000693,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013746,Ravenscourt,Ravenscourt,522557,178439,522550,178450,51.4916313717,-0.2360512776,London,Hammersmith,388,Hammersmith,395,Hammersmith,1,2,2,1,333,1
003577-09012019,09 Jan 2019,2019,08:50:41,8,False Alarm,False alarm - Good intent,,Outdoor Structure,Refuse/rubbish tip ,On land associated with building,NW10 6UF,NW10,34127872,21000314,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013736,College Park & Old Oak,College Park & Old Oak,521968,182666,521950,182650,51.5297435272,-0.2430651966,London,North Kensington,455,North Kensington,557,North Kensington,2,3,3,1,333,1
003677-09012019,09 Jan 2019,2019,13:54:09,13,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,SW6,0,21000090,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013749,Walham Green,Walham Green,,,525350,177050,,,London,Fulham,142,Fulham,385,Chelsea,2,2,2,1,333,1
003737-09012019,09 Jan 2019,2019,16:30:47,16,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W6,0,21000874,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013746,Ravenscourt,Ravenscourt,,,521950,178750,,,London,Hammersmith,330,Chiswick,,,1,1,1,1,333,1
003786-09012019,09 Jan 2019,2019,19:15:12,19,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,SW6,0,21000703,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013738,Fulham Reach,Fulham Reach,,,523450,177050,,,London,Fulham,339,Fulham,442,Hammersmith,2,2,2,1,333,1
004025-10012019,10 Jan 2019,2019,12:11:02,12,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SW6,0,21001094,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013738,Fulham Reach,Fulham Reach,,,523550,176850,,,London,Fulham,478,Fulham,498,Hammersmith,2,2,2,1,333,1
004048-10012019,10 Jan 2019,2019,13:34:44,13,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,W11,0,21000663,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013748,Shepherd's Bush Green,Shepherd's Bush Green,,,523850,180350,,,London,North Kensington,288,North Kensington,,,1,1,1,1,333,1
004197-10012019,10 Jan 2019,2019,21:52:26,21,Fire,Primary Fire,,Road Vehicle,Multiple Vehicles ,In street outside gazetteer location,W14 0LL,W14,34033702,21000337,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013735,Brook Green,Brook Green,523947,179449,523950,179450,51.500402306,-0.2156864572,London,Hammersmith,261,Hammersmith,,,1,1,1,2,666,24
004315-11012019,11 Jan 2019,2019,06:54:47,6,False Alarm,AFA,,Non Residential,Gym ,Within same building,W6 0QU,W6,34160347,21000478,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013741,Hammersmith Broadway,Hammersmith Broadway,522769,178575,522750,178550,51.4928006,-0.2329547,London,Hammersmith,299,Hammersmith,,,1,1,1,1,333,1
004387-11012019,11 Jan 2019,2019,11:05:24,11,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,Correct incident location,W12 7AB,W12,34151565,21000877,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013736,College Park & Old Oak,College Park & Old Oak,523128,181073,523150,181050,51.5151782661,-0.2269087425,London,Acton,251,Hammersmith,534,Acton,2,2,2,1,333,1
004479-11012019,11 Jan 2019,2019,16:13:27,16,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,SW6,0,21000333,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013739,Fulham Town,Fulham Town,,,524550,176650,,,London,Fulham,161,Fulham,288,Chelsea,2,2,2,1,333,1
004532-11012019,11 Jan 2019,2019,18:21:01,18,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,W12,0,21000686,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,,,523850,179750,,,London,Hammersmith,204,Hammersmith,224,Hammersmith,1,2,2,1,333,1
005031-12012019,12 Jan 2019,2019,23:22:23,23,False Alarm,AFA,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,W6,0,21000955,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013733,Addison,Addison,,,523450,179550,,,London,Hammersmith,168,Hammersmith,182,Hammersmith,1,2,2,1,333,1
005079-13012019,13 Jan 2019,2019,03:19:33,3,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,W12,0,21000830,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013752,White City,White City,,,523050,180150,,,London,Hammersmith,248,Hammersmith,260,Hammersmith,1,2,2,1,333,1
005153-13012019,13 Jan 2019,2019,10:28:02,10,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,W14,0,21000597,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013751,West Kensington,West Kensington,,,524550,178350,,,London,Hammersmith,283,Fulham,,,1,1,1,1,333,1
